unmapped_index,technology_name,linked_entity_id,tech_id,process_id,geographic_scope,temporal_scope,capacity_scope,system_boundary,source_ids,date_mapped
120,NH3_Tank_NH3,LE_00121,TECH_00070,PROC_00053,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00001""]",2026-06-25
121,Air_DAC_CO2,LE_00122,TECH_00053,PROC_00038,GEO_RER,,,,[],2026-06-25
122,BioWet_Digestion_CH4,LE_00123,TECH_00034,PROC_00025,GEO_CH,,,,[],2026-06-25
123,C12_Tank_C12,LE_00124,TECH_00068,PROC_00054,GEO_CH,,,,[],2026-06-25
124,C8_Tank_C8,LE_00125,TECH_00069,PROC_00054,GEO_CH,,,,[],2026-06-25
125,CH4_Boiler_ThBdg,LE_00126,TECH_00022,PROC_00016,GEO_GLO,,,,[],2026-06-25
126,CH4_Boiler_ThInd,LE_00127,TECH_00023,PROC_00016,GEO_GLO,,,,[],2026-06-25
127,CH4_CCGT_El,LE_00128,TECH_00003,PROC_00055,GEO_GLO,,,,[],2026-06-25
128,CH4_CHP_ElTh,LE_00129,TECH_00004,PROC_00003,GEO_RER,,,,[],2026-06-25
129,CH4_FuelCell_El,LE_00130,TECH_00005,PROC_00004,GEO_CH,,,,[],2026-06-25
130,CH4_FuelCell_ElBdg,LE_00131,TECH_00005,PROC_00004,GEO_CH,,,,[],2026-06-25
131,CH4_GridStorage_CH4,LE_00132,TECH_00064,PROC_00056,GEO_CH,,,,[],2026-06-25
132,CH4_OCGT_El,LE_00133,TECH_00006,PROC_00057,GEO_CH,,,,[],2026-06-25
